parent_code,calculation_month,snop_month,fc_kl
706059,2026-03-01,2026-08-01,340.52203049999997
706059,2026-02-01,2026-04-01,280.1361345949206
706059,2026-02-01,2026-05-01,400.1318409215698
706059,2026-02-01,2026-06-01,300.1474319128755
706059,2026-02-01,2026-07-01,260.17333063613034
706059,2026-02-01,2027-03-01,320.48828827584856
706059,2026-01-01,2026-04-01,280.0134997192
706059,2026-01-01,2026-05-01,400.0134997192
706059,2026-01-01,2026-06-01,300.0134997192
706059,2026-01-01,2027-02-01,280.5576996551567
706059,2026-01-01,2027-03-01,290.4780282758486
706059,2025-12-01,2025-04-01,260.0
706059,2025-12-01,2025-05-01,395.0
706059,2025-12-01,2026-01-01,201.278
706059,2025-12-01,2026-02-01,280.58384465515667
706059,2025-12-01,2026-03-01,290.4780282758486
706059,2025-11-01,2025-04-01,220.171
706059,2025-11-01,2025-12-01,342.3517071527118
706059,2025-11-01,2026-01-01,201.00821335963082
706059,2025-11-01,2026-02-01,280.5576996551567
706059,2025-11-01,2026-03-01,290.4780282758486
706059,2025-10-01,2025-11-01,202.768
706059,2025-10-01,2025-12-01,342.0178
706059,2025-10-01,2026-01-01,190.8322
706059,2025-10-01,2026-02-01,280.228
706059,2025-10-01,2026-03-01,220.342
706059,2025-09-01,2025-10-01,273.058
706059,2025-09-01,2025-11-01,202.67
706059,2025-09-01,2025-12-01,341.54
706059,2025-09-01,2026-01-01,190.644
706059,2025-09-01,2026-02-01,280.0
706059,2025-08-01,2025-09-01,292.652
706059,2025-08-01,2025-10-01,302.426
706059,2025-08-01,2025-11-01,222.07
706059,2025-08-01,2025-12-01,341.34
706059,2025-08-01,2026-01-01,190.834
706059,2025-07-01,2025-08-01,351.1431
706059,2025-07-01,2025-09-01,282.7459
706059,2025-07-01,2025-10-01,302.4139
706059,2025-07-01,2025-11-01,222.2819
706059,2025-07-01,2025-12-01,341.46
706059,2025-06-01,2025-07-01,220.239
706059,2025-06-01,2025-08-01,361.13
706059,2025-06-01,2025-09-01,192.6518
706059,2025-06-01,2025-10-01,332.4248
706059,2025-06-01,2025-11-01,182.0704
706059,2025-05-01,2025-06-01,335.2413421507953
706059,2025-05-01,2025-07-01,220.23894878262095
